x,y,z,t,u,u_t,u_x,u_y,u_z,u_xx,u_yy,u_zz
0.222801595,0.922155999,0.314706284,0.702190013,0.066013801,-0.187444846,0.033949711,0.034048005,0.030763909,-0.017204469,-0.017103221,-0.020327525
0.24209532,0.716755763,0.691374967,0.583613297,0.096722943,-0.294469716,0.048820056,0.055140876,0.022755422,-0.033372781,-0.026578959,-0.052660744
0.782913613,0.255699128,0.06259179,0.04614596,0.551870625,-3.018198051,-0.220609312,0.313621827,0.450553745,-0.843566255,-0.753526706,-0.563917002
0.970413433,0.075223825,0.99230348,0.132877016,0.329733115,-1.181526845,-0.145342929,0.297341792,-0.154768767,-0.366533602,-0.162466824,-0.35795453
0.801206083,0.986135684,0.006309645,0.609289034,0.091665792,-0.256058816,0.016432578,0.039067129,0.058830891,-0.050392354,-0.036688104,-0.015580631
0.00809498,0.526228468,0.994121977,0.581932171,0.078772514,-0.234888434,0.050838793,0.053859221,0.004157208,-0.014532391,-0.010517884,-0.047123715
0.074002457,0.801082,0.612926736,0.516227405,0.111104513,-0.346102217,0.068312255,0.053025263,0.029239704,-0.030499432,-0.047194395,-0.064805905
0.160560555,0.305223214,0.796897225,0.593230847,0.069028786,-0.216622165,0.038175251,0.056535654,0.012129271,-0.019818929,0.005372452,-0.038799859
0.369583429,0.579987012,0.295126955,0.691365482,0.05888407,-0.176294345,0.025701958,0.040744465,0.028030649,-0.020057386,-0.003083003,-0.01793242
0.864006859,0.932945001,0.757462893,0.366727819,0.247610071,-0.728726016,0.000546219,0.060326012,0.021934389,-0.20074381,-0.186047601,-0.198801971
0.692920414,0.322020614,0.52130931,0.837148322,0.039075801,-0.109441748,0.011577869,0.033288544,0.014662012,-0.014541261,0.010386702,-0.012470221
0.389917519,0.849067859,0.100686778,0.566527885,0.0916876,-0.27974102,0.037988158,0.04401685,0.054226962,-0.04040549,-0.035013454,-0.024073257
0.482339737,0.391894642,0.304187876,0.117599041,0.478214329,-2.482454276,0.087980286,0.223303934,0.203860312,-0.634270121,-0.546183851,-0.563551839
0.388551271,0.885151783,0.679457721,0.605400003,0.10565207,-0.30811303,0.04426967,0.050988686,0.026304468,-0.043206344,-0.037148324,-0.055206853
0.206172416,0.645112007,0.886821239,0.041054082,0.650183655,-2.745734261,0.374044893,-0.070371918,-0.386203402,-0.901761752,-1.109329835,-0.887545021
0.173011813,0.180594187,0.662539779,0.690433464,0.044820573,-0.136075562,0.024244895,0.04051706,0.01257957,-0.010714895,0.012797014,-0.020299095
0.688625921,0.827698728,0.642959188,0.715403656,0.082211443,-0.228297861,0.02242956,0.046969031,0.024373994,-0.036459387,-0.015744451,-0.035352407
0.763396457,0.766073188,0.972044544,0.541867863,0.139946362,-0.398474383,0.024607047,0.07225252,0.006169918,-0.084038012,-0.051061665,-0.088092701
0.754779259,0.684884401,0.874220003,0.781255419,0.067674307,-0.182231791,0.017274532,0.045202146,0.013355489,-0.028402119,-0.002619446,-0.030175914
0.520700223,0.335208491,0.055118965,0.380401497,0.128926796,-0.482026345,0.03678222,0.094649151,0.084391481,-0.091763888,-0.032772814,-0.047017639
0.254326198,0.399314477,0.21725614,0.992742636,0.01990614,-0.053368759,0.009918422,0.016708048,0.010215314,-0.003067008,0.006014802,-0.002766721
0.089547035,0.195574094,0.418287863,0.251035635,0.193796128,-0.853064409,0.127928954,0.155972968,0.06435194,-0.108946925,-0.067863805,-0.172026849
0.567268145,0.317996978,0.517777321,0.895145925,0.031756931,-0.087577322,0.011479261,0.02734762,0.012165495,-0.00971645,0.009684635,-0.009205511
0.222780621,0.12333397,0.07253657,0.062532338,0.440154755,-2.719306087,0.239244577,0.353306089,0.345042642,-0.574134188,-0.420580866,-0.433691636
0.831585056,0.096378287,0.841999971,0.056731957,0.520693963,-2.361640544,-0.233288944,0.438890305,-0.242128883,-0.744255306,-0.478838424,-0.736184031
0.379967901,0.273304099,0.355711147,0.969693973,0.021562451,-0.058489175,0.009632402,0.019146638,0.009846814,-0.00453629,0.0081622,-0.004342593
0.297417651,0.833088667,0.852637952,0.202172508,0.369795095,-1.302375412,0.165508029,0.029137385,-0.06152672,-0.3348334,-0.406613477,-0.398672457
0.841602444,0.534705315,0.050100089,0.099905629,0.457721049,-2.017091248,-0.158085082,0.107989782,0.359607773,-0.599465046,-0.628585621,-0.371538326
0.824165098,0.929093931,0.509346886,0.880774411,0.055425869,-0.143006689,0.013641339,0.032655705,0.021356881,-0.021150537,-0.005267901,-0.016278621
0.968891337,0.111348589,0.037695919,0.775317271,0.032377148,-0.091510617,0.004838111,0.030619082,0.01954061,-0.015065885,0.013167636,-0.003995481
0.918917237,0.366926411,0.395051333,0.698173154,0.060386705,-0.175983431,0.008892545,0.048702406,0.02557438,-0.030534196,0.007435205,-0.021012704
0.99853481,0.59279461,0.805508841,0.015323189,0.675552794,-1.904930013,-0.615164779,-0.07911938,-0.369428185,-0.712900418,-1.263808995,-1.071052324
0.757596157,0.084968419,0.391841403,0.326767148,0.159939411,-0.621608701,0.009590671,0.148158401,0.060303164,-0.138076532,-0.001406459,-0.115915073
0.247010933,0.016526939,0.678657141,0.425312797,0.096105556,-0.347931935,0.048265469,0.09492956,0.01755111,-0.046916776,0.022611627,-0.067951086
0.363140175,0.81013897,0.623974031,0.873599371,0.046609617,-0.1246713,0.020958145,0.029806356,0.015548135,-0.01131732,-0.00168036,-0.015554628
0.611245883,0.756052786,0.865887184,0.482020983,0.159730814,-0.486314175,0.040452535,0.077243474,0.012670502,-0.098857836,-0.071748811,-0.108097544
0.827591408,0.861643363,0.085233411,0.958326635,0.035579783,-0.090817069,0.009286157,0.022894023,0.020215709,-0.012299107,8.54457E-06,-0.003236596
0.242586039,0.024353388,0.08555638,0.595133411,0.042234543,-0.137903209,0.021302524,0.041626027,0.025226209,-0.014242209,0.01603937,-0.009919583
0.49628333,0.511427438,0.521327679,0.679758224,0.067136054,-0.20133079,0.024676204,0.048671458,0.023772002,-0.027034172,-0.000818813,-0.027686683
0.141221827,0.309567383,0.902594332,0.5040014,0.092335113,-0.300529162,0.052828052,0.073380282,0.006209162,-0.031005347,-0.002913513,-0.060812527
0.846100912,0.292864325,0.472645428,0.291484388,0.224066698,-0.86305786,-0.011300182,0.163472945,0.065967916,-0.20633053,-0.087635025,-0.18747868
